Tue, Oct 01, 2019
1:18:55 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0750000	4172.0000000	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0563164	0.0724557	0.2098280	0.1881339	-0.0566538	-0.0735129	-0.2111733	-0.1890327
97.3550000	122.1200027	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0396584	0.0463338	0.0081246	-0.0054819	-0.0399550	-0.0471906	-0.0091975	0.0046401
98.6800000	-3981.0000000	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0602390	0.0659492	-0.1879155	-0.2106628	-0.0605816	-0.0669577	0.1869023	0.2100341
100.2700000	4173.0000000	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0604002	0.0774278	0.2115268	0.1882065	-0.0607790	-0.0785285	-0.2128806	-0.1890739
101.6300000	122.0299988	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0429886	0.0503158	0.0087914	-0.0061031	-0.0433405	-0.0512373	-0.0098697	0.0052866
102.9050000	-3980.0000000	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0645223	0.0710170	-0.1879147	-0.2123190	-0.0648998	-0.0720679	0.1868953	0.2117186
104.4950000	4172.0000000	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0647645	0.0826875	0.2131995	0.1882036	-0.0651653	-0.0838152	-0.2145386	-0.1890457
105.7550000	122.0199966	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0465462	0.0545334	0.0094814	-0.0067527	-0.0468705	-0.0554434	-0.0105612	0.0059565
107.0100000	-3979.0000000	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0689486	0.0762484	-0.1878687	-0.2139768	-0.0693539	-0.0773332	0.1868468	0.2134012
108.5450000	4172.0000000	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0691869	0.0880059	0.2148201	0.1881533	-0.0696278	-0.0891888	-0.2161765	-0.1889833
109.8400000	122.0500031	0.0002251	0.0002251	0.0002251	0.0002251	-0.0002251	-0.0002251	-0.0002251	-0.0002251	0.0501697	0.0588528	0.0101693	-0.0074070	-0.0505618	-0.0598338	-0.0112671	0.0066289
