Thu, Oct 03, 2019
1:17:56 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0150000	4176.0000000	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006750	0.1576407	0.2052442	0.6275085	0.5662925	-0.1598237	-0.2079707	-0.6290398	-0.5658731
97.3250000	122.3700027	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006750	0.1103424	0.1297354	0.0242423	-0.0135227	-0.1121263	-0.1318144	-0.0249128	0.0141755
98.6350000	-3984.0000000	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006731	0.1698277	0.1860711	-0.5627386	-0.6273718	-0.1719830	-0.1888116	0.5622853	0.6267149
100.2850000	4177.0000000	0.0006750	0.0006750	0.0006750	0.0006594	-0.0006750	-0.0006750	-0.0006750	-0.0006560	0.1704352	0.2206714	0.6327120	0.5528462	-0.1725519	-0.2234074	-0.6341643	-0.5495626
101.6150000	122.2600021	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006750	0.1205384	0.1419025	0.0262264	-0.0154628	-0.1223179	-0.1439949	-0.0269425	0.0161261
102.8500000	-3982.0000000	0.0006750	0.0006750	0.0006750	0.0006364	-0.0006750	-0.0006750	-0.0006750	-0.0006334	0.1827620	0.2013474	-0.5627678	-0.5956622	-0.1849863	-0.2041910	0.5622719	0.5944763
104.5150000	4174.0000000	0.0006750	0.0006750	0.0006750	0.0006208	-0.0006750	-0.0006750	-0.0006750	-0.0006174	0.1835135	0.2364853	0.6377209	0.5204238	-0.1857057	-0.2393519	-0.6392549	-0.5171189
105.8800000	122.2200012	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006750	0.1311379	0.1545427	0.0282525	-0.0174598	-0.1330343	-0.1568006	-0.0290215	0.0181435
107.1250000	-3981.0000000	0.0006607	0.0006750	0.0006568	0.0005985	-0.0006568	-0.0006750	-0.0006532	-0.0005956	0.1921474	0.2176769	-0.5469910	-0.5647075	-0.1933245	-0.2206063	0.5435132	0.5636498
108.7800000	4172.0000000	0.0006445	0.0006652	0.0006408	0.0005839	-0.0006406	-0.0006615	-0.0006370	-0.0005807	0.1883155	0.2494518	0.6096708	0.4892076	-0.1894885	-0.2510184	-0.6075163	-0.4860927
110.1550000	122.1600037	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006750	0.1425872	0.1681920	0.0304539	-0.0195884	-0.1445896	-0.1705930	-0.0312675	0.0203028
111.3850000	-3979.0000000	0.0006224	0.0006423	0.0006186	0.0005629	-0.0006187	-0.0006385	-0.0006153	-0.0005603	0.1943720	0.2232116	-0.5149313	-0.5355014	-0.1955352	-0.2248003	0.5116394	0.5345867
113.0050000	4171.0000000	0.0006076	0.0006271	0.0006041	0.0005497	-0.0006041	-0.0006237	-0.0006006	-0.0005469	0.1906458	0.2514696	0.5794960	0.4603104	-0.1917973	-0.2530245	-0.5776249	-0.4575598
114.2800000	121.9700012	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006750	0.1543890	0.1822465	0.0327027	-0.0218214	-0.1564838	-0.1847916	-0.0335537	0.0225669
115.6200000	-3978.0000000	0.0005873	0.0006061	0.0005837	0.0005304	-0.0005839	-0.0006025	-0.0005805	-0.0005280	0.1963396	0.2264145	-0.4855376	-0.5087947	-0.1975025	-0.2279697	0.4823705	0.5079514
117.1700000	4169.0000000	0.0005738	0.0005922	0.0005704	0.0005184	-0.0005705	-0.0005891	-0.0005672	-0.0005158	0.1927624	0.2531985	0.5516092	0.4338538	-0.1938825	-0.2547530	-0.5498616	-0.4312109
118.4500000	122.0199966	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006750	0.1670253	0.1972794	0.0351332	-0.0241593	-0.1691499	-0.1998773	-0.0360037	0.0249396
119.7000000	-3977.0000000	0.0005551	0.0005728	0.0005516	0.0005007	-0.0005519	-0.0005695	-0.0005487	-0.0004985	0.1980419	0.2292500	-0.4584547	-0.4842683	-0.1992127	-0.2307751	0.4554464	0.4834910
121.3750000	4169.0000000	0.0005418	0.0005591	0.0005385	0.0004888	-0.0005386	-0.0005561	-0.0005354	-0.0004864	0.1946388	0.2547444	0.5250937	0.4086372	-0.1957549	-0.2563051	-0.5234416	-0.4061357
122.6450000	122.1100006	0.0006750	0.0006750	0.0006750	0.0006750	-0.0006750	-0.0006750	-0.0006750	-0.0006750	0.1805238	0.2133905	0.0377689	-0.0267109	-0.1827271	-0.2160798	-0.0386430	0.0275362
