Mon, Sep 30, 2019
12:58:14 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0000000	4173.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0009522	-0.0003917	0.0006190	0.0010709	-0.0009526	-0.0010786	-0.0012601	-0.0006014
97.2800000	122.2500000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004192	-0.0004256	-0.0002755	0.0001184	-0.0007975	-0.0008726	-0.0003594	0.0001637
98.6600000	-3982.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003180	-0.0003368	-0.0011538	-0.0007890	-0.0008879	-0.0009671	0.0005031	0.0010929
100.2150000	4175.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003965	-0.0003605	0.0006229	0.0010579	-0.0009615	-0.0010950	-0.0012752	-0.0006170
101.4550000	121.9300003	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004018	-0.0004049	-0.0002751	0.0001094	-0.0008077	-0.0008839	-0.0003602	0.0001692
102.7800000	-3982.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002961	-0.0003131	-0.0011558	-0.0007950	-0.0008977	-0.0009837	0.0005044	0.0010914
104.3800000	4174.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003681	-0.0003290	0.0006296	0.0010435	-0.0009691	-0.0011023	-0.0012831	-0.0006297
105.7600000	122.0899963	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003819	-0.0003870	-0.0002736	0.0001013	-0.0008190	-0.0009048	-0.0003725	0.0001638
107.0050000	-3982.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002732	-0.0002871	-0.0011573	-0.0008111	-0.0009175	-0.0010061	0.0005020	0.0010958
108.5950000	4173.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003376	-0.0002977	0.0006350	0.0010346	-0.0009797	-0.0011214	-0.0012911	-0.0006369
109.8950000	121.9300003	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003620	-0.0003649	-0.0002755	0.0000944	-0.0008316	-0.0009247	-0.0003793	0.0001539
111.2850000	-3981.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002506	-0.0002603	-0.0011603	-0.0008330	-0.0009365	-0.0010289	0.0004959	0.0010893
112.9500000	4172.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003091	-0.0002632	0.0006369	0.0010128	-0.0009939	-0.0011422	-0.0013042	-0.0006524
114.2550000	122.0400009	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003372	-0.0003401	-0.0002728	0.0000823	-0.0008434	-0.0009431	-0.0003791	0.0001537
115.6350000	-3979.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002198	-0.0002278	-0.0011596	-0.0008473	-0.0009453	-0.0010467	0.0004955	0.0010924
117.3150000	4171.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002666	-0.0002259	0.0006465	0.0010017	-0.0010030	-0.0011589	-0.0013106	-0.0006631
118.6100000	122.0500031	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003160	-0.0003160	-0.0002740	0.0000670	-0.0008580	-0.0009613	-0.0003925	0.0001519
119.8700000	-3978.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0001877	-0.0001990	-0.0011632	-0.0008615	-0.0009672	-0.0010738	0.0004877	0.0010872
121.4150000	4169.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002402	-0.0001948	0.0006446	0.0009848	-0.0010236	-0.0011805	-0.0013253	-0.0006745
122.7100000	122.0999985	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002865	-0.0002869	-0.0002715	0.0000571	-0.0008713	-0.0009812	-0.0003998	0.0001462
123.9750000	-3978.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0001638	-0.0001682	-0.0011666	-0.0008788	-0.0009835	-0.0010976	0.0004859	0.0010916
125.5500000	4168.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002080	-0.0001580	0.0006520	0.0009756	-0.0010309	-0.0011979	-0.0013326	-0.0006847
126.9650000	122.0800018	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002575	-0.0002576	-0.0002758	0.0000433	-0.0008866	-0.0010019	-0.0004067	0.0001412
128.2250000	-3976.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0001332	-0.0001401	-0.0011737	-0.0009021	-0.0010040	-0.0011234	0.0004782	0.0010835
129.7650000	4169.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0000000	-0.0001273	0.0006549	0.0009556	-0.0010479	-0.0012260	-0.0013506	-0.0006938
