Tue, Oct 01, 2019
2:54:16 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0200000	4178.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1065237	0.1382942	0.4191242	0.3771454	-0.1072403	-0.1397715	-0.4206644	-0.3781376
97.3450000	121.9800034	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.0745501	0.0876635	0.0162709	-0.0100417	-0.0751511	-0.0887973	-0.0171774	0.0092975
98.6150000	-3981.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1143878	0.1255113	-0.3756329	-0.4198158	-0.1151307	-0.1269912	0.3749056	0.4197238
100.2200000	4178.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1147505	0.1482440	0.4225376	0.3773243	-0.1154880	-0.1498051	-0.4240741	-0.3782304
101.4850000	121.9199982	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.0814106	0.0957283	0.0175281	-0.0111952	-0.0819402	-0.0968123	-0.0184568	0.0105266
102.8250000	-3979.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1229886	0.1356578	-0.3757171	-0.4231472	-0.1237780	-0.1371933	0.3749755	0.4231381
104.4050000	4177.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1234721	0.1587691	0.4258213	0.3773602	-0.1246590	-0.1605854	-0.4279409	-0.3786514
105.7900000	121.9199982	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.0882861	0.1040096	0.0189214	-0.0125340	-0.0889563	-0.1052553	-0.0198562	0.0119030
107.0500000	-3978.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1320698	0.1463728	-0.3756453	-0.4265439	-0.1329118	-0.1479996	0.3749053	0.4266472
108.7450000	4176.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1329197	0.1701462	0.4293538	0.3773004	-0.1337760	-0.1718864	-0.4310264	-0.3781276
110.1250000	121.7799988	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.0960568	0.1132383	0.0203932	-0.0139444	-0.0967460	-0.1145332	-0.0213582	0.0133577
111.3750000	-3977.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1418504	0.1579237	-0.3755360	-0.4301362	-0.1427668	-0.1596585	0.3747903	0.4303472
113.0700000	4174.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1428711	0.1821202	0.4329831	0.3771578	-0.1437712	-0.1839419	-0.4347023	-0.3779427
114.4650000	121.9800034	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1044702	0.1231826	0.0219835	-0.0154279	-0.1051270	-0.1244948	-0.0229759	0.0148958
115.7050000	-3977.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1521941	0.1701594	-0.3753161	-0.4338782	-0.1531608	-0.1719546	0.3745765	0.4341379
117.3050000	4173.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1531133	0.1944207	0.4366074	0.3768996	-0.1540531	-0.1963084	-0.4383683	-0.3776466
118.5850000	121.8499985	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1126293	0.1329670	0.0235611	-0.0169768	-0.1135125	-0.1345302	-0.0245922	0.0164894
119.9700000	-3976.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1627484	0.1826550	-0.3749972	-0.4375745	-0.1637854	-0.1845352	0.3742642	0.4379093
121.5850000	4173.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1638031	0.2072669	0.4403349	0.3765630	-0.1648195	-0.2092656	-0.4421425	-0.3772325
122.9450000	121.7600021	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1219874	0.1440780	0.0253067	-0.0186964	-0.1229088	-0.1456906	-0.0263622	0.0182520
124.2150000	-3975.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1737475	0.1956711	-0.3746215	-0.4413557	-0.1748154	-0.1976006	0.3738995	0.4418155
125.7750000	4172.0000000	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1748593	0.2205293	0.4441657	0.3761832	-0.1759118	-0.2226004	-0.4460018	-0.3767704
127.0650000	121.7399979	0.0004501	0.0004501	0.0004501	0.0004501	-0.0004501	-0.0004501	-0.0004501	-0.0004501	0.1313605	0.1552234	0.0270919	-0.0204250	-0.1322875	-0.1568647	-0.0281613	0.0200330
128.3150000	-3974.0000000	0.0004501	0.0004501	0.0004501	0.0004423	-0.0004501	-0.0004501	-0.0004501	-0.0004402	0.1848337	0.2088213	-0.3741694	-0.4371013	-0.1859529	-0.2108228	0.3734514	0.4355050
