Thu, Oct 03, 2019
2:55:58 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0700000	4172.0000000	0.0005845	0.0005999	0.0005737	0.0005198	-0.0005697	-0.0005855	-0.0005602	-0.0005083	0.1925948	0.2531978	0.5536931	0.4340983	-0.1937172	-0.2550264	-0.5444487	-0.4248055
97.3450000	121.9700012	0.0007950	0.0008181	0.0007833	0.0007058	-0.0007808	-0.0008038	-0.0007698	-0.0006946	0.2076495	0.2534879	0.0432136	-0.0277872	-0.2081887	-0.2547510	-0.0440833	0.0283572
98.5950000	-3977.0000000	0.0005205	0.0005366	0.0005154	0.0004676	-0.0005160	-0.0005319	-0.0005110	-0.0004642	0.2000690	0.2328354	-0.4286498	-0.4580043	-0.2008396	-0.2341336	0.4246898	0.4563871
100.1050000	4172.0000000	0.0005044	0.0005203	0.0005003	0.0004542	-0.0005013	-0.0005174	-0.0004971	-0.0004517	0.1970114	0.2565205	0.4944109	0.3799638	-0.1975360	-0.2579475	-0.4931921	-0.3778048
101.4650000	121.8499985	0.0007076	0.0007304	0.0007019	0.0006337	-0.0007032	-0.0007258	-0.0006971	-0.0006301	0.2080777	0.2541446	0.0429015	-0.0285002	-0.2086004	-0.2553747	-0.0437613	0.0290444
102.7100000	-3976.0000000	0.0004893	0.0005049	0.0004856	0.0004406	-0.0004872	-0.0005026	-0.0004833	-0.0004390	0.2015406	0.2352750	-0.4036219	-0.4356584	-0.2022279	-0.2364291	0.4013535	0.4354997
104.3100000	4171.0000000	0.0004812	0.0004965	0.0004777	0.0004335	-0.0004790	-0.0004945	-0.0004753	-0.0004318	0.1982527	0.2574562	0.4755424	0.3623014	-0.1987238	-0.2588536	-0.4749878	-0.3607315
105.5850000	121.8099976	0.0006702	0.0006920	0.0006654	0.0006007	-0.0006669	-0.0006885	-0.0006616	-0.0005979	0.2082804	0.2544651	0.0427677	-0.0288676	-0.2088052	-0.2557013	-0.0436246	0.0294059
106.9300000	-3974.0000000	0.0004704	0.0004855	0.0004670	0.0004235	-0.0004685	-0.0004834	-0.0004649	-0.0004220	0.2024123	0.2367760	-0.3877256	-0.4212900	-0.2030844	-0.2379143	0.3856529	0.4212901
108.4650000	4170.0000000	0.0004633	0.0004781	0.0004600	0.0004172	-0.0004613	-0.0004763	-0.0004578	-0.0004157	0.1991798	0.2581540	0.4606693	0.3482850	-0.1996541	-0.2595599	-0.4602486	-0.3468415
109.8250000	121.9599991	0.0006388	0.0006596	0.0006344	0.0005725	-0.0006357	-0.0006563	-0.0006308	-0.0005700	0.2084481	0.2547525	0.0426999	-0.0291581	-0.2089826	-0.2560045	-0.0435449	0.0297024
111.0550000	-3974.0000000	0.0004534	0.0004679	0.0004502	0.0004080	-0.0004517	-0.0004660	-0.0004482	-0.0004067	0.2031562	0.2381021	-0.3733435	-0.4083043	-0.2038452	-0.2392446	0.3713672	0.4083732
112.6600000	4169.0000000	0.0004467	0.0004610	0.0004436	0.0004020	-0.0004449	-0.0004593	-0.0004415	-0.0004007	0.2000196	0.2587718	0.4468645	0.3352766	-0.2004869	-0.2601918	-0.4464966	-0.3338818
114.0550000	121.8199997	0.0006097	0.0006295	0.0006056	0.0005464	-0.0006068	-0.0006264	-0.0006022	-0.0005440	0.2086200	0.2550270	0.0426079	-0.0294766	-0.2091515	-0.2562982	-0.0434364	0.0300210
115.3000000	-3972.0000000	0.0004371	0.0004510	0.0004340	0.0003931	-0.0004354	-0.0004491	-0.0004321	-0.0003918	0.2038719	0.2393553	-0.3594837	-0.3957936	-0.2045452	-0.2405044	0.3575359	0.3958596
116.9150000	4168.0000000	0.0004304	0.0004441	0.0004274	0.0003872	-0.0004286	-0.0004425	-0.0004254	-0.0003858	0.2008230	0.2593670	0.4332835	0.3224772	-0.2012914	-0.2607921	-0.4329140	-0.3210947
118.2150000	121.9400024	0.0005815	0.0006003	0.0005777	0.0005210	-0.0005788	-0.0005975	-0.0005745	-0.0005188	0.2087888	0.2553186	0.0425512	-0.0297628	-0.2093176	-0.2565895	-0.0433700	0.0303147
119.5700000	-3971.0000000	0.0004211	0.0004345	0.0004181	0.0003785	-0.0004194	-0.0004326	-0.0004162	-0.0003772	0.2045439	0.2405661	-0.3459289	-0.3835972	-0.2052135	-0.2417244	0.3440178	0.3836719
121.1200000	4166.0000000	0.0004147	0.0004279	0.0004118	0.0003728	-0.0004130	-0.0004263	-0.0004098	-0.0003716	0.2015799	0.2599271	0.4201885	0.3101693	-0.2020433	-0.2613432	-0.4198755	-0.3088405
122.4050000	121.9899979	0.0005547	0.0005726	0.0005512	0.0004970	-0.0005522	-0.0005700	-0.0005481	-0.0004949	0.2089549	0.2556115	0.0424954	-0.0300684	-0.2094823	-0.2568884	-0.0433112	0.0306026
123.6550000	-3970.0000000	0.0004057	0.0004186	0.0004029	0.0003646	-0.0004042	-0.0004169	-0.0004011	-0.0003633	0.2051640	0.2417060	-0.3329659	-0.3719552	-0.2058263	-0.2428660	0.3310987	0.3720396
125.3450000	4166.0000000	0.0003994	0.0004121	0.0003967	0.0003589	-0.0003978	-0.0004106	-0.0003948	-0.0003577	0.2022853	0.2604419	0.4075129	0.2982539	-0.2027566	-0.2618619	-0.4072228	-0.2969409
126.6000000	121.7900009	0.0005289	0.0005460	0.0005257	0.0004738	-0.0005265	-0.0005435	-0.0005227	-0.0004718	0.2091244	0.2559072	0.0424159	-0.0303840	-0.2096491	-0.2571829	-0.0432363	0.0309135
127.8700000	-3969.0000000	0.0003905	0.0004030	0.0003879	0.0003508	-0.0003891	-0.0004013	-0.0003861	-0.0003496	0.2057656	0.2428225	-0.3201966	-0.3604959	-0.2064186	-0.2439798	0.3183530	0.3605794
129.5600000	4165.0000000	0.0003845	0.0003967	0.0003819	0.0003453	-0.0003829	-0.0003952	-0.0003800	-0.0003441	0.2029748	0.2609470	0.3951118	0.2866036	-0.2034351	-0.2623540	-0.3948715	-0.2853408
130.8400000	121.8600006	0.0005042	0.0005204	0.0005011	0.0004516	-0.0005019	-0.0005180	-0.0004983	-0.0004497	0.2092942	0.2562150	0.0423732	-0.0306852	-0.2098146	-0.2574868	-0.0432035	0.0311943
132.0900000	-3968.0000000	0.0003758	0.0003878	0.0003734	0.0003375	-0.0003745	-0.0003862	-0.0003716	-0.0003363	0.2063240	0.2438856	-0.3078541	-0.3494485	-0.2069704	-0.2450434	0.3060354	0.3495367
133.6500000	4164.0000000	0.0003702	0.0003819	0.0003677	0.0003324	-0.0003687	-0.0003806	-0.0003659	-0.0003313	0.2036043	0.2614025	0.3833299	0.2755650	-0.2040617	-0.2628098	-0.3831621	-0.2743663
134.9150000	121.7699966	0.0004811	0.0004967	0.0004783	0.0004309	-0.0004791	-0.0004945	-0.0004757	-0.0004291	0.2094501	0.2565081	0.0423127	-0.0309827	-0.2099677	-0.2577841	-0.0431653	0.0314779
136.2150000	-3968.0000000	0.0003620	0.0003735	0.0003596	0.0003249	-0.0003607	-0.0003720	-0.0003580	-0.0003238	0.2068384	0.2448756	-0.2962483	-0.3390714	-0.2074759	-0.2460371	0.2944311	0.3391514
137.7650000	4163.0000000	0.0003565	0.0003678	0.0003541	0.0003200	-0.0003551	-0.0003665	-0.0003524	-0.0003189	0.2042069	0.2618420	0.3720176	0.2649764	-0.2046459	-0.2632349	-0.3719317	-0.2638330
139.0650000	121.9000015	0.0004592	0.0004741	0.0004566	0.0004113	-0.0004573	-0.0004721	-0.0004542	-0.0004097	0.2096180	0.2568131	0.0422896	-0.0312509	-0.2101294	-0.2580906	-0.0431718	0.0317366
140.3250000	-3967.0000000	0.0003489	0.0003601	0.0003468	0.0003132	-0.0003478	-0.0003588	-0.0003453	-0.0003122	0.2073239	0.2458076	-0.2854035	-0.3294204	-0.2079215	-0.2469527	0.2837083	0.3296251
141.9400000	4163.0000000	0.0003443	0.0003553	0.0003422	0.0003091	-0.0003432	-0.0003542	-0.0003407	-0.0003082	0.2047269	0.2622254	0.3621289	0.2557333	-0.2051418	-0.2636163	-0.3622394	-0.2547365
143.2450000	121.8000031	0.0004410	0.0004554	0.0004387	0.0003951	-0.0004395	-0.0004538	-0.0004366	-0.0003939	0.2097654	0.2570924	0.0422669	-0.0315050	-0.2102448	-0.2583635	-0.0431749	0.0319988
144.5150000	-3966.0000000	0.0003383	0.0003492	0.0003363	0.0003037	-0.0003374	-0.0003480	-0.0003350	-0.0003029	0.2077024	0.2465582	-0.2766311	-0.3216292	-0.2082743	-0.2477076	0.2750129	0.3219253
146.0600000	4162.0000000	0.0003344	0.0003451	0.0003324	0.0003002	-0.0003334	-0.0003441	-0.0003310	-0.0002994	0.2051401	0.2625351	0.3540443	0.2481986	-0.2055396	-0.2639271	-0.3542790	-0.2472426
147.3550000	121.9300003	0.0004258	0.0004398	0.0004237	0.0003816	-0.0004244	-0.0004382	-0.0004217	-0.0003804	0.2098869	0.2573282	0.0422517	-0.0316640	-0.2103550	-0.2586146	-0.0431993	0.0322154
148.6500000	-3966.0000000	0.0003289	0.0003396	0.0003270	0.0002952	-0.0003281	-0.0003384	-0.0003257	-0.0002944	0.2080366	0.2471945	-0.2688099	-0.3145778	-0.2085873	-0.2483781	0.2671739	0.3149707
150.3650000	4162.0000000	0.0003250	0.0003355	0.0003231	0.0002917	-0.0003240	-0.0003345	-0.0003217	-0.0002909	0.2055273	0.2628188	0.3463458	0.2409874	-0.2059244	-0.2642304	-0.3466161	-0.2400201
151.7800000	121.9300003	0.0004109	0.0004243	0.0004089	0.0003681	-0.0004095	-0.0004228	-0.0004069	-0.0003670	0.2100137	0.2575677	0.0422389	-0.0319115	-0.2104823	-0.2588808	-0.0432298	0.0324278
153.0600000	-3964.0000000	0.0003195	0.0003298	0.0003177	0.0002867	-0.0003187	-0.0003287	-0.0003164	-0.0002860	0.2083608	0.2478615	-0.2609959	-0.3076809	-0.2089140	-0.2490586	0.2593566	0.3080655
154.6100000	4161.0000000	0.0003160	0.0003261	0.0003142	0.0002836	-0.0003151	-0.0003253	-0.0003129	-0.0002829	0.2058899	0.2630759	0.3390414	0.2341622	-0.2062907	-0.2645205	-0.3394359	-0.2332627
155.9150000	122.0800018	0.0003977	0.0004107	0.0003959	0.0003564	-0.0003966	-0.0004095	-0.0003942	-0.0003555	0.2101235	0.2577742	0.0422336	-0.0320648	-0.2105964	-0.2591181	-0.0432573	0.0326219
157.3300000	-3965.0000000	0.0003114	0.0003214	0.0003096	0.0002794	-0.0003106	-0.0003204	-0.0003085	-0.0002787	0.2086391	0.2484079	-0.2542817	-0.3016651	-0.2091931	-0.2496448	0.2526638	0.3021663
158.9150000	4161.0000000	0.0003084	0.0003182	0.0003067	0.0002767	-0.0003076	-0.0003175	-0.0003055	-0.0002762	0.2061776	0.2632747	0.3328380	0.2284108	-0.2066139	-0.2647761	-0.3333438	-0.2275135
160.3450000	121.8199997	0.0003863	0.0003989	0.0003846	0.0003462	-0.0003852	-0.0003978	-0.0003830	-0.0003454	0.2101930	0.2579199	0.0422053	-0.0321917	-0.2107420	-0.2593547	-0.0432476	0.0328570
161.6200000	-3964.0000000	0.0003045	0.0003144	0.0003030	0.0002733	-0.0003040	-0.0003136	-0.0003020	-0.0002728	0.2088006	0.2487805	-0.2487580	-0.2966539	-0.2094882	-0.2501485	0.2472575	0.2974477
163.1950000	4160.0000000	0.0003023	0.0003120	0.0003007	0.0002712	-0.0003015	-0.0003112	-0.0002995	-0.0002706	0.2063273	0.2633553	0.3279427	0.2238904	-0.2069505	-0.2650096	-0.3283801	-0.2227774
164.6250000	121.9499969	0.0003766	0.0003889	0.0003750	0.0003374	-0.0003754	-0.0003876	-0.0003732	-0.0003364	0.2101993	0.2579880	0.0422170	-0.0322208	-0.2109340	-0.2595685	-0.0432189	0.0330649
165.8650000	-3964.0000000	0.0002975	0.0003071	0.0002959	0.0002668	-0.0002967	-0.0003060	-0.0002946	-0.0002660	0.2089705	0.2491879	-0.2427994	-0.2911916	-0.2098231	-0.2506907	0.2410737	0.2919025
167.4450000	4160.0000000	0.0002937	0.0003031	0.0002921	0.0002633	-0.0002927	-0.0003021	-0.0002906	-0.0002625	0.2066286	0.2635496	0.3208613	0.2172375	-0.2073714	-0.2652871	-0.3210771	-0.2159011
168.7250000	121.9000015	0.0003627	0.0003744	0.0003610	0.0003246	-0.0003612	-0.0003728	-0.0003589	-0.0003233	0.2103219	0.2582088	0.0421981	-0.0324154	-0.2111274	-0.2598357	-0.0431912	0.0332751
170.1700000	-3964.0000000	0.0002871	0.0002962	0.0002854	0.0002572	-0.0002860	-0.0002949	-0.0002839	-0.0002563	0.2093340	0.2499033	-0.2340668	-0.2833824	-0.2102175	-0.2514290	0.2321761	0.2839256
171.7300000	4159.0000000	0.0002825	0.0002913	0.0002808	0.0002530	-0.0002813	-0.0002902	-0.0002792	-0.0002521	0.2071170	0.2638898	0.3116316	0.2085869	-0.2078496	-0.2656008	-0.3117454	-0.2072041
173.0200000	121.8799973	0.0003449	0.0003559	0.0003432	0.0003085	-0.0003434	-0.0003544	-0.0003411	-0.0003073	0.2105687	0.2585793	0.0421831	-0.0326741	-0.2113450	-0.2601769	-0.0431760	0.0335184
174.3000000	-3963.0000000	0.0002755	0.0002842	0.0002739	0.0002467	-0.0002744	-0.0002830	-0.0002724	-0.0002458	0.2097627	0.2507127	-0.2245546	-0.2748951	-0.2106196	-0.2522089	0.2226431	0.2754159
175.8650000	4159.0000000	0.0002709	0.0002793	0.0002693	0.0002425	-0.0002697	-0.0002782	-0.0002677	-0.0002416	0.2076182	0.2642320	0.3022064	0.1998252	-0.2083379	-0.2659258	-0.3023491	-0.1984631
177.1500000	121.8300018	0.0003277	0.0003382	0.0003261	0.0002931	-0.0003263	-0.0003367	-0.0003241	-0.0002919	0.2108134	0.2589382	0.0421488	-0.0329136	-0.2115756	-0.2605247	-0.0431616	0.0337497
178.4400000	-3962.0000000	0.0002639	0.0002723	0.0002624	0.0002363	-0.0002629	-0.0002711	-0.0002610	-0.0002354	0.2101860	0.2514988	-0.2151049	-0.2664462	-0.2110254	-0.2529851	0.2132012	0.2669988
180.0150000	4158.0000000	0.0002595	0.0002676	0.0002580	0.0002322	-0.0002583	-0.0002665	-0.0002564	-0.0002314	0.2081255	0.2645739	0.2930145	0.1913231	-0.2088153	-0.2662363	-0.2931956	-0.1899583
181.4500000	121.9800034	0.0003108	0.0003206	0.0003093	0.0002778	-0.0003093	-0.0003192	-0.0003073	-0.0002767	0.2110739	0.2593156	0.0421120	-0.0331460	-0.2118243	-0.2608824	-0.0431544	0.0339796
182.7150000	-3963.0000000	0.0002525	0.0002604	0.0002511	0.0002259	-0.0002515	-0.0002593	-0.0002496	-0.0002251	0.2106027	0.2522675	-0.2057922	-0.2581021	-0.2114310	-0.2537519	0.2038971	0.2587098
184.2850000	4159.0000000	0.0002482	0.0002559	0.0002468	0.0002221	-0.0002472	-0.0002550	-0.0002453	-0.0002213	0.2086147	0.2648882	0.2839231	0.1829282	-0.2092981	-0.2665451	-0.2842159	-0.1816527
185.5500000	121.7500000	0.0002953	0.0003047	0.0002940	0.0002640	-0.0002940	-0.0003034	-0.0002921	-0.0002630	0.2113249	0.2596622	0.0420413	-0.0333810	-0.2120686	-0.2612320	-0.0431230	0.0342062
186.8650000	-3962.0000000	0.0002420	0.0002496	0.0002407	0.0002165	-0.0002411	-0.0002486	-0.0002394	-0.0002158	0.2109831	0.2529660	-0.1973656	-0.2505586	-0.2118024	-0.2544352	0.1954529	0.2511563
188.5900000	4159.0000000	0.0002376	0.0002450	0.0002364	0.0002126	-0.0002367	-0.0002442	-0.0002350	-0.0002119	0.2090955	0.2651775	0.2753631	0.1750961	-0.2097650	-0.2668366	-0.2757638	-0.1738731
189.8950000	122.0199966	0.0002805	0.0002893	0.0002793	0.0002507	-0.0002793	-0.0002882	-0.0002775	-0.0002498	0.2115919	0.2600052	0.0419806	-0.0335564	-0.2123249	-0.2615697	-0.0431069	0.0343760
191.3050000	-3962.0000000	0.0002315	0.0002387	0.0002303	0.0002070	-0.0002306	-0.0002377	-0.0002289	-0.0002063	0.2113885	0.2536664	-0.1888218	-0.2428398	-0.2121872	-0.2551270	0.1868987	0.2435145
192.8700000	4159.0000000	0.0002276	0.0002347	0.0002265	0.0002036	-0.0002267	-0.0002339	-0.0002251	-0.0002030	0.2095678	0.2654462	0.2672120	0.1676627	-0.2102281	-0.2671134	-0.2677004	-0.1665112
194.1600000	121.8000031	0.0002666	0.0002751	0.0002656	0.0002383	-0.0002655	-0.0002740	-0.0002639	-0.0002375	0.2118639	0.2603312	0.0418533	-0.0337464	-0.2125911	-0.2619006	-0.0430312	0.0345646
195.5350000	-3962.0000000	0.0002220	0.0002289	0.0002209	0.0001985	-0.0002211	-0.0002280	-0.0002195	-0.0001979	0.2117605	0.2542753	-0.1811908	-0.2358893	-0.2125514	-0.2557365	0.1792438	0.2366063
197.1600000	4158.0000000	0.0002184	0.0002251	0.0002173	0.0001953	-0.0002175	-0.0002244	-0.0002159	-0.0001946	0.2100414	0.2656707	0.2595577	0.1608022	-0.2106912	-0.2673564	-0.2600476	-0.1596211
198.6250000	121.8099976	0.0002535	0.0002615	0.0002526	0.0002265	-0.0002524	-0.0002605	-0.0002508	-0.0002257	0.2121672	0.2606354	0.0416868	-0.0338794	-0.2128829	-0.2622135	-0.0429021	0.0346796
200.1600000	-3961.0000000	0.0002124	0.0002190	0.0002115	0.0001899	-0.0002116	-0.0002182	-0.0002101	-0.0001893	0.2121523	0.2548603	-0.1735299	-0.2287950	-0.2129370	-0.2563210	0.1715133	0.2294935
201.9000000	4158.0000000	0.0002087	0.0002152	0.0002078	0.0001866	-0.0002079	-0.0002145	-0.0002064	-0.0001861	0.2105816	0.2658798	0.2513854	0.1536277	-0.2112275	-0.2676246	-0.2519993	-0.1525687
203.4000000	121.8399963	0.0002404	0.0002481	0.0002396	0.0002149	-0.0002394	-0.0002471	-0.0002379	-0.0002141	0.2125157	0.2609034	0.0413975	-0.0338479	-0.2132233	-0.2625378	-0.0427014	0.0347385
204.9000000	-3961.0000000	0.0002031	0.0002096	0.0002023	0.0001816	-0.0002024	-0.0002088	-0.0002009	-0.0001811	0.2125652	0.2553731	-0.1661135	-0.2217394	-0.2133522	-0.2568741	0.1640597	0.2225110
206.6500000	4157.0000000	0.0001997	0.0002060	0.0001988	0.0001785	-0.0001989	-0.0002054	-0.0001975	-0.0001781	0.2111683	0.2660396	0.2434621	0.1470300	-0.2118079	-0.2678688	-0.2441764	-0.1459938
208.1500000	121.8399963	0.0002284	0.0002356	0.0002277	0.0002041	-0.0002275	-0.0002349	-0.0002260	-0.0002035	0.2129015	0.2611363	0.0409849	-0.0339117	-0.2136064	-0.2628250	-0.0423527	0.0346817
209.6500000	-3961.0000000	0.0001945	0.0002008	0.0001938	0.0001739	-0.0001938	-0.0002000	-0.0001924	-0.0001735	0.2130090	0.2557706	-0.1592652	-0.2146755	-0.2137855	-0.2573360	0.1571611	0.2157742
211.4000000	4158.0000000	0.0001913	0.0001973	0.0001907	0.0001710	-0.0001906	-0.0001970	-0.0001893	-0.0001707	0.2118151	0.2661102	0.2357797	0.1408364	-0.2124638	-0.2680999	-0.2365645	-0.1400109
212.8500000	122.1399994	0.0002174	0.0002244	0.0002169	0.0001943	-0.0002166	-0.0002239	-0.0002153	-0.0001939	0.2133465	0.2612888	0.0403841	-0.0337410	-0.2140369	-0.2630717	-0.0418503	0.0344277
214.3500000	-3961.0000000	0.0001866	0.0001925	0.0001861	0.0001668	-0.0001860	-0.0001921	-0.0001847	-0.0001666	0.2134788	0.2561371	-0.1530436	-0.2084304	-0.2142496	-0.2577143	0.1509048	0.2092798
216.2500000	4158.0000000	0.0001836	0.0001894	0.0001831	0.0001641	-0.0001829	-0.0001892	-0.0001817	-0.0001640	0.2125757	0.2661209	0.2281327	0.1350430	-0.2132050	-0.2683057	-0.2289866	-0.1345661
217.7000000	121.8000031	0.0002074	0.0002144	0.0002071	0.0001855	-0.0002067	-0.0002139	-0.0002055	-0.0001852	0.2138852	0.2613319	0.0394741	-0.0332033	-0.2145456	-0.2632587	-0.0410477	0.0339843
